date,age,deaths
12/31/2020,45-54 years,2308
12/31/2020,50-64 years,6450
12/31/2020,55-64 years,5081
12/31/2020,65-74 years,6774
12/31/2020,75-84 years,6810
12/31/2020,85 years and over,5008
12/31/2020,All Ages,26625
12/31/2020,Under 1 year,128
12/31/2020,0-17 years,208
12/31/2020,1-4 years,17
12/31/2020,5-14 years,42
12/31/2020,15-24 years,178
12/31/2020,18-29 years,336
12/31/2020,25-34 years,422
12/31/2020,30-39 years,573
12/31/2020,35-44 years,740
12/31/2020,40-49 years,1006
12/31/2020,45-54 years,1453
12/31/2020,50-64 years,4192
12/31/2020,55-64 years,3335
12/31/2020,65-74 years,5219
12/31/2020,75-84 years,6734
12/31/2020,85 years and over,8357
12/31/2021,All Ages,60370
12/31/2021,Under 1 year,307
12/31/2021,0-17 years,555
12/31/2021,1-4 years,53
12/31/2021,5-14 years,98
12/31/2021,15-24 years,671
12/31/2021,18-29 years,1200
12/31/2021,25-34 years,1496
12/31/2021,30-39 years,1979
12/31/2021,35-44 years,2514
12/31/2021,40-49 years,3187
12/31/2021,45-54 years,4477
12/31/2021,50-64 years,12181
12/31/2021,55-64 years,9486
12/31/2021,65-74 years,13879
12/31/2021,75-84 years,14579
12/31/2021,85 years and over,12810
12/31/2021,All Ages,31821
12/31/2021,Under 1 year,163
12/31/2021,0-17 years,297
12/31/2021,1-4 years,25
12/31/2021,5-14 years,54
12/31/2021,15-24 years,465
12/31/2021,18-29 years,849
12/31/2021,25-34 years,1052
12/31/2021,30-39 years,1331
12/31/2021,35-44 years,1592
12/31/2021,40-49 years,1959
12/31/2021,45-54 years,2745
12/31/2021,50-64 years,7260
12/31/2021,55-64 years,5600
12/31/2021,65-74 years,7798
12/31/2021,75-84 years,7432
12/31/2021,85 years and over,4895
12/31/2021,All Ages,28549
12/31/2021,Under 1 year,144
12/31/2021,0-17 years,258
12/31/2021,1-4 years,28
12/31/2021,5-14 years,44
12/31/2021,15-24 years,206
12/31/2021,18-29 years,351
12/31/2021,25-34 years,444
12/31/2021,30-39 years,648
12/31/2021,35-44 years,922
12/31/2021,40-49 years,1228
12/31/2021,45-54 years,1732
12/31/2021,50-64 years,4921
12/31/2021,55-64 years,3886
12/31/2021,65-74 years,6081
12/31/2021,75-84 years,7147
12/31/2021,85 years and over,7915
7/9/2022,All Ages,26701
7/9/2022,Under 1 year,74
7/9/2022,0-17 years,137
7/9/2022,1-4 years,15
7/9/2022,5-14 years,24
7/9/2022,15-24 years,178
7/9/2022,18-29 years,308
7/9/2022,25-34 years,436
7/9/2022,30-39 years,676
7/9/2022,35-44 years,916
7/9/2022,40-49 years,1144
7/9/2022,45-54 years,1651
7/9/2022,50-64 years,5070
7/9/2022,55-64 years,4041
7/9/2022,65-74 years,6147
7/9/2022,75-84 years,7070
7/9/2022,85 years and over,6149
7/9/2022,All Ages,13809
7/9/2022,Under 1 year,45
7/9/2022,0-17 years,82
7/9/2022,1-4 years,
7/9/2022,5-14 years,12
7/9/2022,15-24 years,128
7/9/2022,18-29 years,211
7/9/2022,25-34 years,296
7/9/2022,30-39 years,440
7/9/2022,35-44 years,559
7/9/2022,40-49 years,696
7/9/2022,45-54 years,1009
7/9/2022,50-64 years,3022
7/9/2022,55-64 years,2395
7/9/2022,65-74 years,3471
7/9/2022,75-84 years,3567
7/9/2022,85 years and over,2320
7/9/2022,All Ages,12892
7/9/2022,Under 1 year,29
7/9/2022,0-17 years,55
7/9/2022,1-4 years,
7/9/2022,5-14 years,12
7/9/2022,15-24 years,50
7/9/2022,18-29 years,97
7/9/2022,25-34 years,140
7/9/2022,30-39 years,236
7/9/2022,35-44 years,357
7/9/2022,40-49 years,448
7/9/2022,45-54 years,642
7/9/2022,50-64 years,2048
7/9/2022,55-64 years,1646
7/9/2022,65-74 years,2676
7/9/2022,75-84 years,3503
7/9/2022,85 years and over,3829
12/31/2020,All Ages,56828
12/31/2020,Under 1 year,424
12/31/2020,0-17 years,741
12/31/2020,1-4 years,79
12/31/2020,5-14 years,121
12/31/2020,15-24 years,780
12/31/2020,18-29 years,1362
12/31/2020,25-34 years,1574
12/31/2020,30-39 years,1921
12/31/2020,35-44 years,2242
12/31/2020,40-49 years,2715
12/31/2020,45-54 years,3689
12/31/2020,50-64 years,10709
12/31/2020,55-64 years,8539
12/31/2020,65-74 years,12372
12/31/2020,75-84 years,13492
12/31/2020,85 years and over,13516
12/31/2020,All Ages,29995
12/31/2020,Under 1 year,234
12/31/2020,0-17 years,440
12/31/2020,1-4 years,46
12/31/2020,5-14 years,77
12/31/2020,15-24 years,566
12/31/2020,18-29 years,995
12/31/2020,25-34 years,1084
12/31/2020,30-39 years,1281
12/31/2020,35-44 years,1485
12/31/2020,40-49 years,1744
12/31/2020,45-54 years,2283
12/31/2020,50-64 years,6432
12/31/2020,55-64 years,5117
12/31/2020,65-74 years,7103
12/31/2020,75-84 years,6860
12/31/2020,85 years and over,5140
12/31/2020,All Ages,26833
12/31/2020,Under 1 year,190
12/31/2020,0-17 years,301
12/31/2020,1-4 years,33
12/31/2020,5-14 years,44
12/31/2020,15-24 years,214
12/31/2020,18-29 years,367
12/31/2020,25-34 years,490
12/31/2020,30-39 years,640
12/31/2020,35-44 years,757
12/31/2020,40-49 years,971
12/31/2020,45-54 years,1406
12/31/2020,50-64 years,4277
12/31/2020,55-64 years,3422
12/31/2020,65-74 years,5269
12/31/2020,75-84 years,6632
12/31/2020,85 years and over,8376
12/31/2021,All Ages,57478
12/31/2021,Under 1 year,410
12/31/2021,0-17 years,807
12/31/2021,1-4 years,109
12/31/2021,5-14 years,135
12/31/2021,15-24 years,884
12/31/2021,18-29 years,1441
12/31/2021,25-34 years,1747
12/31/2021,30-39 years,2270
12/31/2021,35-44 years,2759
12/31/2021,40-49 years,3264
12/31/2021,45-54 years,4235
12/31/2021,50-64 years,11618
12/31/2021,55-64 years,9121
12/31/2021,65-74 years,12851
12/31/2021,75-84 years,13069
12/31/2021,85 years and over,12158
12/31/2021,All Ages,31211
12/31/2021,Under 1 year,216
12/31/2021,0-17 years,464
12/31/2021,1-4 years,53
12/31/2021,5-14 years,79
12/31/2021,15-24 years,651
12/31/2021,18-29 years,1042
12/31/2021,25-34 years,1213
12/31/2021,30-39 years,1509
12/31/2021,35-44 years,1787
12/31/2021,40-49 years,2078
12/31/2021,45-54 years,2700
12/31/2021,50-64 years,7242
12/31/2021,55-64 years,5636
12/31/2021,65-74 years,7456
12/31/2021,75-84 years,6745
12/31/2021,85 years and over,4675
12/31/2021,All Ages,26267
12/31/2021,Under 1 year,194
12/31/2021,0-17 years,343
12/31/2021,1-4 years,56
12/31/2021,5-14 years,56
12/31/2021,15-24 years,233
12/31/2021,18-29 years,399
12/31/2021,25-34 years,534
12/31/2021,30-39 years,761
12/31/2021,35-44 years,972
12/31/2021,40-49 years,1186
12/31/2021,45-54 years,1535
12/31/2021,50-64 years,4376
12/31/2021,55-64 years,3485
12/31/2021,65-74 years,5395
12/31/2021,75-84 years,6324
12/31/2021,85 years and over,7483
7/9/2022,All Ages,22503
7/9/2022,Under 1 year,103
7/9/2022,0-17 years,211
7/9/2022,1-4 years,31
7/9/2022,5-14 years,38
7/9/2022,15-24 years,221
7/9/2022,18-29 years,391
7/9/2022,25-34 years,505
7/9/2022,30-39 years,652
7/9/2022,35-44 years,839
7/9/2022,40-49 years,1039
7/9/2022,45-54 years,1352
7/9/2022,50-64 years,4091
7/9/2022,55-64 years,3295
7/9/2022,65-74 years,5081
7/9/2022,75-84 years,5675
7/9/2022,85 years and over,5363
7/9/2022,All Ages,11712
7/9/2022,Under 1 year,58
7/9/2022,0-17 years,133
7/9/2022,1-4 years,19
7/9/2022,5-14 years,23
7/9/2022,15-24 years,170
7/9/2022,18-29 years,291
7/9/2022,25-34 years,346
7/9/2022,30-39 years,426
7/9/2022,35-44 years,525
7/9/2022,40-49 years,633
7/9/2022,45-54 years,820
7/9/2022,50-64 years,2420
7/9/2022,55-64 years,1942
7/9/2022,65-74 years,2870
7/9/2022,75-84 years,2880
7/9/2022,85 years and over,2059
7/9/2022,All Ages,10791
7/9/2022,Under 1 year,45
7/9/2022,0-17 years,78
7/9/2022,1-4 years,12
7/9/2022,5-14 years,15
7/9/2022,15-24 years,51
7/9/2022,18-29 years,100
7/9/2022,25-34 years,159
7/9/2022,30-39 years,226
7/9/2022,35-44 years,314
7/9/2022,40-49 years,406
7/9/2022,45-54 years,532
7/9/2022,50-64 years,1671
7/9/2022,55-64 years,1353
7/9/2022,65-74 years,2211
7/9/2022,75-84 years,2795
7/9/2022,85 years and over,3304
12/31/2020,All Ages,15620
12/31/2020,Under 1 year,72
12/31/2020,0-17 years,114
12/31/2020,1-4 years,10
12/31/2020,5-14 years,13
12/31/2020,15-24 years,107
12/31/2020,18-29 years,202
12/31/2020,25-34 years,256
12/31/2020,30-39 years,337
12/31/2020,35-44 years,408
12/31/2020,40-49 years,505
12/31/2020,45-54 years,758
12/31/2020,50-64 years,2333
12/31/2020,55-64 years,1867
12/31/2020,65-74 years,3055
12/31/2020,75-84 years,3959
12/31/2020,85 years and over,5115
12/31/2020,All Ages,8158
12/31/2020,Under 1 year,39
12/31/2020,0-17 years,73
12/31/2020,1-4 years,
12/31/2020,5-14 years,11
12/31/2020,15-24 years,88
12/31/2020,18-29 years,155
12/31/2020,25-34 years,190
12/31/2020,30-39 years,248
12/31/2020,35-44 years,280
12/31/2020,40-49 years,329
12/31/2020,45-54 years,484
12/31/2020,50-64 years,1525
12/31/2020,55-64 years,1231
12/31/2020,65-74 years,1777
12/31/2020,75-84 years,2068
12/31/2020,85 years and over,1983
12/31/2020,All Ages,7462
12/31/2020,Under 1 year,33
12/31/2020,0-17 years,41
12/31/2020,1-4 years,
12/31/2020,5-14 years,
12/31/2020,15-24 years,19
12/31/2020,18-29 years,47
12/31/2020,25-34 years,66
12/31/2020,30-39 years,89
12/31/2020,35-44 years,128
12/31/2020,40-49 years,176
12/31/2020,45-54 years,274
12/31/2020,50-64 years,808
12/31/2020,55-64 years,636
12/31/2020,65-74 years,1278
12/31/2020,75-84 years,1891
12/31/2020,85 years and over,3132
12/31/2021,All Ages,17129
12/31/2021,Under 1 year,56
12/31/2021,0-17 years,104
12/31/2021,1-4 years,16
12/31/2021,5-14 years,12
12/31/2021,15-24 years,104
12/31/2021,18-29 years,197
12/31/2021,25-34 years,309
12/31/2021,30-39 years,422
12/31/2021,35-44 years,507
12/31/2021,40-49 years,620
12/31/2021,45-54 years,900
12/31/2021,50-64 years,2704
12/31/2021,55-64 years,2143
12/31/2021,65-74 years,3438
12/31/2021,75-84 years,4399
12/31/2021,85 years and over,5245
12/31/2021,All Ages,9099
12/31/2021,Under 1 year,29
12/31/2021,0-17 years,58
12/31/2021,1-4 years,12
12/31/2021,5-14 years,
12/31/2021,15-24 years,74
12/31/2021,18-29 years,145
12/31/2021,25-34 years,225
12/31/2021,30-39 years,297
12/31/2021,35-44 years,347
12/31/2021,40-49 years,421
12/31/2021,45-54 years,612
12/31/2021,50-64 years,1750
12/31/2021,55-64 years,1366
12/31/2021,65-74 years,2028
12/31/2021,75-84 years,2333
12/31/2021,85 years and over,2067
12/31/2021,All Ages,8030
12/31/2021,Under 1 year,27
12/31/2021,0-17 years,46
12/31/2021,1-4 years,
12/31/2021,5-14 years,
12/31/2021,15-24 years,30
12/31/2021,18-29 years,52
12/31/2021,25-34 years,84
12/31/2021,30-39 years,125
12/31/2021,35-44 years,160
12/31/2021,40-49 years,199
12/31/2021,45-54 years,288
12/31/2021,50-64 years,954
12/31/2021,55-64 years,777
12/31/2021,65-74 years,1410
12/31/2021,75-84 years,2066
12/31/2021,85 years and over,3178
7/9/2022,All Ages,7123
7/9/2022,Under 1 year,27
7/9/2022,0-17 years,46
7/9/2022,1-4 years,
7/9/2022,5-14 years,10
7/9/2022,15-24 years,41
7/9/2022,18-29 years,86
7/9/2022,25-34 years,122
7/9/2022,30-39 years,183
7/9/2022,35-44 years,246
7/9/2022,40-49 years,264
7/9/2022,45-54 years,335
7/9/2022,50-64 years,1088
7/9/2022,55-64 years,882
7/9/2022,65-74 years,1425
7/9/2022,75-84 years,1828
7/9/2022,85 years and over,2203
7/9/2022,All Ages,3737
7/9/2022,Under 1 year,15
7/9/2022,0-17 years,25
7/9/2022,1-4 years,
7/9/2022,5-14 years,
7/9/2022,15-24 years,27
7/9/2022,18-29 years,57
7/9/2022,25-34 years,80
7/9/2022,30-39 years,120
7/9/2022,35-44 years,166
7/9/2022,40-49 years,171
7/9/2022,45-54 years,207
7/9/2022,50-64 years,674
7/9/2022,55-64 years,544
7/9/2022,65-74 years,857
7/9/2022,75-84 years,952
7/9/2022,85 years and over,881
7/9/2022,All Ages,3386
7/9/2022,Under 1 year,12
7/9/2022,0-17 years,21
7/9/2022,1-4 years,
7/9/2022,5-14 years,
7/9/2022,15-24 years,14
7/9/2022,18-29 years,29
7/9/2022,25-34 years,42
7/9/2022,30-39 years,63
7/9/2022,35-44 years,80
7/9/2022,40-49 years,93
7/9/2022,45-54 years,128
7/9/2022,50-64 years,414
7/9/2022,55-64 years,338
7/9/2022,65-74 years,568
7/9/2022,75-84 years,876
7/9/2022,85 years and over,1322
12/31/2020,All Ages,59631
12/31/2020,Under 1 year,356
12/31/2020,0-17 years,537
12/31/2020,1-4 years,41
12/31/2020,5-14 years,72
12/31/2020,15-24 years,647
12/31/2020,18-29 years,1264
12/31/2020,25-34 years,1567
12/31/2020,30-39 years,1842
12/31/2020,35-44 years,2054
12/31/2020,40-49 years,2432
12/31/2020,45-54 years,3439
12/31/2020,50-64 years,9984
12/31/2020,55-64 years,7883
12/31/2020,65-74 years,11496
12/31/2020,75-84 years,13949
12/31/2020,85 years and over,18127
12/31/2020,All Ages,30510
12/31/2020,Under 1 year,198
12/31/2020,0-17 years,309
12/31/2020,1-4 years,20
12/31/2020,5-14 years,41
12/31/2020,15-24 years,501
12/31/2020,18-29 years,929
12/31/2020,25-34 years,1092
12/31/2020,30-39 years,1253
12/31/2020,35-44 years,1339
12/31/2020,40-49 years,1564
12/31/2020,45-54 years,2184
12/31/2020,50-64 years,6089
12/31/2020,55-64 years,4769
12/31/2020,65-74 years,6468
12/31/2020,75-84 years,7040
12/31/2020,85 years and over,6858
12/31/2020,All Ages,29121
12/31/2020,Under 1 year,158
12/31/2020,0-17 years,228
12/31/2020,1-4 years,21
12/31/2020,5-14 years,31
12/31/2020,15-24 years,146
12/31/2020,18-29 years,335
12/31/2020,25-34 years,475
12/31/2020,30-39 years,589
12/31/2020,35-44 years,715
12/31/2020,40-49 years,868
12/31/2020,45-54 years,1255
12/31/2020,50-64 years,3895
12/31/2020,55-64 years,3114
12/31/2020,65-74 years,5028
12/31/2020,75-84 years,6909
12/31/2020,85 years and over,11269
12/31/2021,All Ages,57471
12/31/2021,Under 1 year,355
12/31/2021,0-17 years,551
12/31/2021,1-4 years,46
12/31/2021,5-14 years,74
12/31/2021,15-24 years,611
12/31/2021,18-29 years,1174
12/31/2021,25-34 years,1477
12/31/2021,30-39 years,1828
12/31/2021,35-44 years,2133
12/31/2021,40-49 years,2461
12/31/2021,45-54 years,3494
12/31/2021,50-64 years,10135
12/31/2021,55-64 years,7959
12/31/2021,65-74 years,11515
12/31/2021,75-84 years,13567
12/31/2021,85 years and over,16240
12/31/2021,All Ages,29703
12/31/2021,Under 1 year,191
12/31/2021,0-17 years,302
12/31/2021,1-4 years,17
12/31/2021,5-14 years,39
12/31/2021,15-24 years,466
12/31/2021,18-29 years,899
12/31/2021,25-34 years,1074
12/31/2021,30-39 years,1242
12/31/2021,35-44 years,1390
12/31/2021,40-49 years,1559
12/31/2021,45-54 years,2171
12/31/2021,50-64 years,6129
12/31/2021,55-64 years,4783
12/31/2021,65-74 years,6469
12/31/2021,75-84 years,6805
12/31/2021,85 years and over,6298
12/31/2021,All Ages,27768
12/31/2021,Under 1 year,164
12/31/2021,0-17 years,249
12/31/2021,1-4 years,29
12/31/2021,5-14 years,35
12/31/2021,15-24 years,145
12/31/2021,18-29 years,275
12/31/2021,25-34 years,403
12/31/2021,30-39 years,586
12/31/2021,35-44 years,743
12/31/2021,40-49 years,902
12/31/2021,45-54 years,1323
12/31/2021,50-64 years,4006
12/31/2021,55-64 years,3176
12/31/2021,65-74 years,5046
12/31/2021,75-84 years,6762
12/31/2021,85 years and over,9942
7/9/2022,All Ages,26489
7/9/2022,Under 1 year,132
7/9/2022,0-17 years,241
7/9/2022,1-4 years,18
7/9/2022,5-14 years,41
7/9/2022,15-24 years,260
7/9/2022,18-29 years,455
7/9/2022,25-34 years,575
7/9/2022,30-39 years,711
7/9/2022,35-44 years,844
7/9/2022,40-49 years,1055
7/9/2022,45-54 years,1479
7/9/2022,50-64 years,4296
7/9/2022,55-64 years,3409
7/9/2022,65-74 years,5285
7/9/2022,75-84 years,6615
7/9/2022,85 years and over,7831
7/9/2022,All Ages,13551
7/9/2022,Under 1 year,75
7/9/2022,0-17 years,142
7/9/2022,1-4 years,
7/9/2022,5-14 years,24
7/9/2022,15-24 years,191
7/9/2022,18-29 years,326
7/9/2022,25-34 years,398
7/9/2022,30-39 years,482
7/9/2022,35-44 years,551
7/9/2022,40-49 years,671
7/9/2022,45-54 years,906
7/9/2022,50-64 years,2507
7/9/2022,55-64 years,1977
7/9/2022,65-74 years,2967
7/9/2022,75-84 years,3336
7/9/2022,85 years and over,3120
7/9/2022,All Ages,12938
7/9/2022,Under 1 year,57
7/9/2022,0-17 years,99
7/9/2022,1-4 years,12
7/9/2022,5-14 years,17
7/9/2022,15-24 years,69
7/9/2022,18-29 years,129
7/9/2022,25-34 years,177
7/9/2022,30-39 years,229
7/9/2022,35-44 years,293
7/9/2022,40-49 years,384
7/9/2022,45-54 years,573
7/9/2022,50-64 years,1789
7/9/2022,55-64 years,1432
7/9/2022,65-74 years,2318
7/9/2022,75-84 years,3279
7/9/2022,85 years and over,4711
12/31/2020,All Ages,68930
12/31/2020,Under 1 year,265
12/31/2020,0-17 years,404
12/31/2020,1-4 years,31
12/31/2020,5-14 years,47
12/31/2020,15-24 years,423
12/31/2020,18-29 years,895
12/31/2020,25-34 years,1241
12/31/2020,30-39 years,1571
12/31/2020,35-44 years,1796
12/31/2020,40-49 years,2099
12/31/2020,45-54 years,3154
12/31/2020,50-64 years,9397
12/31/2020,55-64 years,7409
12/31/2020,65-74 years,12108
12/31/2020,75-84 years,16567
12/31/2020,85 years and over,25889
12/31/2020,All Ages,34359
12/31/2020,Under 1 year,150
12/31/2020,0-17 years,230
12/31/2020,1-4 years,16
12/31/2020,5-14 years,28
12/31/2020,15-24 years,293
12/31/2020,18-29 years,645
12/31/2020,25-34 years,864
12/31/2020,30-39 years,1060
12/31/2020,35-44 years,1220
12/31/2020,40-49 years,1399
12/31/2020,45-54 years,2032
12/31/2020,50-64 years,5910
12/31/2020,55-64 years,4641
12/31/2020,65-74 years,7025
12/31/2020,75-84 years,8411
12/31/2020,85 years and over,9679
12/31/2020,All Ages,34571
12/31/2020,Under 1 year,115
12/31/2020,0-17 years,174
12/31/2020,1-4 years,15
12/31/2020,5-14 years,19
12/31/2020,15-24 years,130
12/31/2020,18-29 years,250
12/31/2020,25-34 years,377
12/31/2020,30-39 years,511
12/31/2020,35-44 years,576
12/31/2020,40-49 years,700
12/31/2020,45-54 years,1122
12/31/2020,50-64 years,3487
12/31/2020,55-64 years,2768
12/31/2020,65-74 years,5083
12/31/2020,75-84 years,8156
12/31/2020,85 years and over,16210
12/31/2021,All Ages,63952
12/31/2021,Under 1 year,254
12/31/2021,0-17 years,444
12/31/2021,1-4 years,42
12/31/2021,5-14 years,82
12/31/2021,15-24 years,432
12/31/2021,18-29 years,817
12/31/2021,25-34 years,1225
12/31/2021,30-39 years,1661
12/31/2021,35-44 years,1884
12/31/2021,40-49 years,2200
12/31/2021,45-54 years,3194
12/31/2021,50-64 years,9497
12/31/2021,55-64 years,7506
12/31/2021,65-74 years,12024
12/31/2021,75-84 years,15485
12/31/2021,85 years and over,21824
12/31/2021,All Ages,32857
12/31/2021,Under 1 year,139
12/31/2021,0-17 years,252
12/31/2021,1-4 years,29
12/31/2021,5-14 years,46
12/31/2021,15-24 years,319
12/31/2021,18-29 years,613
12/31/2021,25-34 years,882
12/31/2021,30-39 years,1143
12/31/2021,35-44 years,1246
12/31/2021,40-49 years,1425
12/31/2021,45-54 years,2023
12/31/2021,50-64 years,5908
12/31/2021,55-64 years,4657
12/31/2021,65-74 years,7007
12/31/2021,75-84 years,7939
12/31/2021,85 years and over,8570
12/31/2021,All Ages,31095
12/31/2021,Under 1 year,115
12/31/2021,0-17 years,192
12/31/2021,1-4 years,13
12/31/2021,5-14 years,36
12/31/2021,15-24 years,113
12/31/2021,18-29 years,204
12/31/2021,25-34 years,343
12/31/2021,30-39 years,518
12/31/2021,35-44 years,638
12/31/2021,40-49 years,775
12/31/2021,45-54 years,1171
12/31/2021,50-64 years,3589
12/31/2021,55-64 years,2849
12/31/2021,65-74 years,5017
12/31/2021,75-84 years,7546
12/31/2021,85 years and over,13254
7/9/2022,All Ages,31091
7/9/2022,Under 1 year,94
7/9/2022,0-17 years,182
7/9/2022,1-4 years,21
7/9/2022,5-14 years,42
7/9/2022,15-24 years,176
7/9/2022,18-29 years,359
7/9/2022,25-34 years,512
7/9/2022,30-39 years,711
7/9/2022,35-44 years,877
7/9/2022,40-49 years,1006
7/9/2022,45-54 years,1448
7/9/2022,50-64 years,4371
7/9/2022,55-64 years,3459
7/9/2022,65-74 years,5715
7/9/2022,75-84 years,7718
7/9/2022,85 years and over,11029
7/9/2022,All Ages,15564
7/9/2022,Under 1 year,51
7/9/2022,0-17 years,104
7/9/2022,1-4 years,17
7/9/2022,5-14 years,16
7/9/2022,15-24 years,122
7/9/2022,18-29 years,239
7/9/2022,25-34 years,338
7/9/2022,30-39 years,472
7/9/2022,35-44 years,580
7/9/2022,40-49 years,661
7/9/2022,45-54 years,916
7/9/2022,50-64 years,2651
7/9/2022,55-64 years,2087
7/9/2022,65-74 years,3293
7/9/2022,75-84 years,3928
7/9/2022,85 years and over,4216
7/9/2022,All Ages,15527
7/9/2022,Under 1 year,43
7/9/2022,0-17 years,78
7/9/2022,1-4 years,
7/9/2022,5-14 years,26
7/9/2022,15-24 years,54
7/9/2022,18-29 years,120
7/9/2022,25-34 years,174
7/9/2022,30-39 years,239
7/9/2022,35-44 years,297
7/9/2022,40-49 years,345
7/9/2022,45-54 years,532
7/9/2022,50-64 years,1720
7/9/2022,55-64 years,1372
7/9/2022,65-74 years,2422
7/9/2022,75-84 years,3790
7/9/2022,85 years and over,6813
12/31/2020,All Ages,115487
12/31/2020,Under 1 year,696
12/31/2020,0-17 years,1139
12/31/2020,1-4 years,99
12/31/2020,5-14 years,175
12/31/2020,15-24 years,1020
12/31/2020,18-29 years,1841
12/31/2020,25-34 years,2222
12/31/2020,30-39 years,2627
12/31/2020,35-44 years,3105
12/31/2020,40-49 years,4157
12/31/2020,45-54 years,6191
12/31/2020,50-64 years,18589
12/31/2020,55-64 years,14845
12/31/2020,65-74 years,23492
12/31/2020,75-84 years,28247
12/31/2020,85 years and over,35395
12/31/2020,All Ages,59639
12/31/2020,Under 1 year,365
12/31/2020,0-17 years,627
12/31/2020,1-4 years,54
12/31/2020,5-14 years,98
12/31/2020,15-24 years,741
12/31/2020,18-29 years,1320
12/31/2020,25-34 years,1535
12/31/2020,30-39 years,1741
12/31/2020,35-44 years,1980
12/31/2020,40-49 years,2638
12/31/2020,45-54 years,3876
12/31/2020,50-64 years,11453
12/31/2020,55-64 years,9130
12/31/2020,65-74 years,13519
12/31/2020,75-84 years,14674
12/31/2020,85 years and over,13667
12/31/2020,All Ages,55848
12/31/2020,Under 1 year,331
12/31/2020,0-17 years,512
12/31/2020,1-4 years,45
12/31/2020,5-14 years,77
12/31/2020,15-24 years,279
12/31/2020,18-29 years,521
12/31/2020,25-34 years,687
12/31/2020,30-39 years,886
12/31/2020,35-44 years,1125
12/31/2020,40-49 years,1519
12/31/2020,45-54 years,2315
12/31/2020,50-64 years,7136
12/31/2020,55-64 years,5715
12/31/2020,65-74 years,9973
12/31/2020,75-84 years,13573
12/31/2020,85 years and over,21728
12/31/2021,All Ages,116047
12/31/2021,Under 1 year,650
12/31/2021,0-17 years,1097
12/31/2021,1-4 years,110
12/31/2021,5-14 years,174
12/31/2021,15-24 years,1057
12/31/2021,18-29 years,1902
12/31/2021,25-34 years,2413
12/31/2021,30-39 years,3105
12/31/2021,35-44 years,3700
12/31/2021,40-49 years,4638
12/31/2021,45-54 years,6797
12/31/2021,50-64 years,20021
12/31/2021,55-64 years,15862
12/31/2021,65-74 years,24974
12/31/2021,75-84 years,27861
12/31/2021,85 years and over,32449
12/31/2021,All Ages,61203
12/31/2021,Under 1 year,353
12/31/2021,0-17 years,630
12/31/2021,1-4 years,59
12/31/2021,5-14 years,101
12/31/2021,15-24 years,753
12/31/2021,18-29 years,1358
12/31/2021,25-34 years,1681
12/31/2021,30-39 years,2060
12/31/2021,35-44 years,2385
12/31/2021,40-49 years,2972
12/31/2021,45-54 years,4310
12/31/2021,50-64 years,12399
12/31/2021,55-64 years,9777
12/31/2021,65-74 years,14471
12/31/2021,75-84 years,14497
12/31/2021,85 years and over,12816
12/31/2021,All Ages,54844
12/31/2021,Under 1 year,297
12/31/2021,0-17 years,467
12/31/2021,1-4 years,51
12/31/2021,5-14 years,73
12/31/2021,15-24 years,304
12/31/2021,18-29 years,544
12/31/2021,25-34 years,732
12/31/2021,30-39 years,1045
12/31/2021,35-44 years,1315
12/31/2021,40-49 years,1666
12/31/2021,45-54 years,2487
12/31/2021,50-64 years,7622
12/31/2021,55-64 years,6085
12/31/2021,65-74 years,10503
12/31/2021,75-84 years,13364
12/31/2021,85 years and over,19633
7/9/2022,All Ages,53754
7/9/2022,Under 1 year,246
7/9/2022,0-17 years,402
7/9/2022,1-4 years,52
7/9/2022,5-14 years,59
7/9/2022,15-24 years,337
7/9/2022,18-29 years,674
7/9/2022,25-34 years,933
7/9/2022,30-39 years,1243
7/9/2022,35-44 years,1566
7/9/2022,40-49 years,1939
7/9/2022,45-54 years,2814
7/9/2022,50-64 years,8594
7/9/2022,55-64 years,6845
7/9/2022,65-74 years,11504
7/9/2022,75-84 years,13669
7/9/2022,85 years and over,15729
7/9/2022,All Ages,27721
7/9/2022,Under 1 year,142
7/9/2022,0-17 years,243
7/9/2022,1-4 years,37
7/9/2022,5-14 years,33
7/9/2022,15-24 years,223
7/9/2022,18-29 years,443
7/9/2022,25-34 years,607
7/9/2022,30-39 years,787
7/9/2022,35-44 years,1002
7/9/2022,40-49 years,1213
7/9/2022,45-54 years,1723
7/9/2022,50-64 years,5233
7/9/2022,55-64 years,4152
7/9/2022,65-74 years,6608
7/9/2022,75-84 years,7053
7/9/2022,85 years and over,6141
7/9/2022,All Ages,26033
7/9/2022,Under 1 year,104
7/9/2022,0-17 years,159
7/9/2022,1-4 years,15
7/9/2022,5-14 years,26
7/9/2022,15-24 years,114
7/9/2022,18-29 years,231
7/9/2022,25-34 years,326
7/9/2022,30-39 years,456
7/9/2022,35-44 years,564
7/9/2022,40-49 years,726
7/9/2022,45-54 years,1091
7/9/2022,50-64 years,3361
7/9/2022,55-64 years,2693
7/9/2022,65-74 years,4896
7/9/2022,75-84 years,6616
7/9/2022,85 years and over,9588
12/31/2020,All Ages,52186
12/31/2020,Under 1 year,284
12/31/2020,0-17 years,529
12/31/2020,1-4 years,73
12/31/2020,5-14 years,78
12/31/2020,15-24 years,479
12/31/2020,18-29 years,817
12/31/2020,25-34 years,972
12/31/2020,30-39 years,1121
12/31/2020,35-44 years,1270
12/31/2020,40-49 years,1555
12/31/2020,45-54 years,2327
12/31/2020,50-64 years,7113
