date,age,deaths
7/9/2022,75-84 years,22970
7/9/2022,85 years and over,28738
7/9/2022,All Ages,96658
7/9/2022,Under 1 year,633
7/9/2022,0-17 years,1110
7/9/2022,1-4 years,122
7/9/2022,5-14 years,184
7/9/2022,15-24 years,1028
7/9/2022,18-29 years,1718
7/9/2022,25-34 years,2017
7/9/2022,30-39 years,2629
7/9/2022,35-44 years,3384
7/9/2022,40-49 years,4420
7/9/2022,45-54 years,6147
7/9/2022,50-64 years,17833
7/9/2022,55-64 years,14195
7/9/2022,65-74 years,21570
7/9/2022,75-84 years,24400
7/9/2022,85 years and over,22978
7/9/2022,All Ages,50936
7/9/2022,Under 1 year,345
7/9/2022,0-17 years,649
7/9/2022,1-4 years,74
7/9/2022,5-14 years,102
7/9/2022,15-24 years,749
7/9/2022,18-29 years,1224
7/9/2022,25-34 years,1368
7/9/2022,30-39 years,1678
7/9/2022,35-44 years,2070
7/9/2022,40-49 years,2621
7/9/2022,45-54 years,3668
7/9/2022,50-64 years,10714
7/9/2022,55-64 years,8510
7/9/2022,65-74 years,12515
7/9/2022,75-84 years,12634
7/9/2022,85 years and over,8901
7/9/2022,All Ages,45722
7/9/2022,Under 1 year,288
7/9/2022,0-17 years,461
7/9/2022,1-4 years,48
7/9/2022,5-14 years,82
7/9/2022,15-24 years,279
7/9/2022,18-29 years,494
7/9/2022,25-34 years,649
7/9/2022,30-39 years,951
7/9/2022,35-44 years,1314
7/9/2022,40-49 years,1799
7/9/2022,45-54 years,2479
7/9/2022,50-64 years,7119
7/9/2022,55-64 years,5685
7/9/2022,65-74 years,9055
7/9/2022,75-84 years,11766
7/9/2022,85 years and over,14077
7/9/2022,All Ages,807880
7/9/2022,Under 1 year,4069
7/9/2022,0-17 years,7432
7/9/2022,1-4 years,768
7/9/2022,5-14 years,1276
7/9/2022,15-24 years,9187
7/9/2022,18-29 years,16572
7/9/2022,25-34 years,19745
7/9/2022,30-39 years,23763
7/9/2022,35-44 years,27795
7/9/2022,40-49 years,34618
7/9/2022,45-54 years,48969
7/9/2022,50-64 years,134443
7/9/2022,55-64 years,105019
7/9/2022,65-74 years,154652
7/9/2022,75-84 years,186074
7/9/2022,85 years and over,250326
7/9/2022,All Ages,436149
7/9/2022,Under 1 year,2252
7/9/2022,0-17 years,4301
7/9/2022,1-4 years,427
7/9/2022,5-14 years,719
7/9/2022,15-24 years,6854
7/9/2022,18-29 years,12519
7/9/2022,25-34 years,14618
7/9/2022,30-39 years,17032
7/9/2022,35-44 years,19183
7/9/2022,40-49 years,22978
7/9/2022,45-54 years,31988
7/9/2022,50-64 years,86311
7/9/2022,55-64 years,67100
7/9/2022,65-74 years,91980
7/9/2022,75-84 years,98365
7/9/2022,85 years and over,102663
7/9/2022,All Ages,371731
7/9/2022,Under 1 year,1817
7/9/2022,0-17 years,3131
7/9/2022,1-4 years,341
7/9/2022,5-14 years,557
7/9/2022,15-24 years,2333
7/9/2022,18-29 years,4053
7/9/2022,25-34 years,5127
7/9/2022,30-39 years,6731
7/9/2022,35-44 years,8612
7/9/2022,40-49 years,11640
7/9/2022,45-54 years,16981
7/9/2022,50-64 years,48132
7/9/2022,55-64 years,37919
7/9/2022,65-74 years,62672
7/9/2022,75-84 years,87709
7/9/2022,85 years and over,147663
7/9/2022,All Ages,118107
7/9/2022,Under 1 year,755
7/9/2022,0-17 years,1393
7/9/2022,1-4 years,114
7/9/2022,5-14 years,236
7/9/2022,15-24 years,1696
7/9/2022,18-29 years,2895
7/9/2022,25-34 years,3448
7/9/2022,30-39 years,4151
7/9/2022,35-44 years,4679
7/9/2022,40-49 years,5493
7/9/2022,45-54 years,7207
7/9/2022,50-64 years,19283
7/9/2022,55-64 years,15080
7/9/2022,65-74 years,23510
7/9/2022,75-84 years,27705
7/9/2022,85 years and over,33677
7/9/2022,All Ages,63388
7/9/2022,Under 1 year,400
7/9/2022,0-17 years,824
7/9/2022,1-4 years,72
7/9/2022,5-14 years,153
7/9/2022,15-24 years,1233
7/9/2022,18-29 years,2152
7/9/2022,25-34 years,2487
7/9/2022,30-39 years,2861
7/9/2022,35-44 years,3109
7/9/2022,40-49 years,3535
7/9/2022,45-54 years,4605
7/9/2022,50-64 years,12097
7/9/2022,55-64 years,9410
7/9/2022,65-74 years,13781
7/9/2022,75-84 years,14618
7/9/2022,85 years and over,13520
7/9/2022,All Ages,54719
7/9/2022,Under 1 year,355
7/9/2022,0-17 years,569
7/9/2022,1-4 years,42
7/9/2022,5-14 years,83
7/9/2022,15-24 years,463
7/9/2022,18-29 years,743
